Local time in Cape Town (airport),T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
31.07.2017 17:00,23.5,752.5,756.4,-0.3,35,Wind blowing from the north-west,12,14,,40%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10%  or less, but not 0","2500 or more, or no clouds.",Altocumulus castellanus or floccus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",30,7.2,,,,,,
31.07.2017 14:00,27.3,752.8,756.5,-1.9,29,Wind blowing from the north-west,8,10,,20–30%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",30,7.9,,,,,,
31.07.2017 11:00,25.3,754.7,758.7,-0.9,34,Wind blowing from the north,5,8,,20–30%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",30,8.5,,,,,,
31.07.2017 08:00,18.8,755.6,759.7,-0.3,42,Wind blowing from the north-northwest,4,6,,40%., ,,,10.1,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",30,5.6,,,,,,
31.07.2017 05:00,12.1,755.9,760,-1.7,67,variable wind direction,1,2,,no clouds, ,,,,,,,,,,10,6.2,,,,,,
31.07.2017 02:00,11,757.6,761.8,-2.1,83,Wind blowing from the south-east,2,2,,no clouds, ,,,,,,,,,,10,8.2,,,,,,
30.07.2017 23:00,12.9,759.7,763.9,-0.6,79,Wind blowing from the south-southeast,2,2,,no clouds, ,,,,,,,,,,7,9.4,,,,,,
30.07.2017 20:00,14.7,760.3,764.5,-0.2,72,Wind blowing from the south-southeast,2,2,,no clouds, ,,,,23.1,,,,,,30,9.7,,,,,,
30.07.2017 17:00,21.2,760.5,764.5,-1.3,47,Wind blowing from the south-southeast,3,,,70 – 80%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",30,9.5,,,,,,
30.07.2017 14:00,22.2,761.8,765.8,-2,48,Wind blowing from the south-southeast,3,5,,20–30%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",30,10.5,,,,,,
30.07.2017 11:00,16.5,763.8,767.9,0.3,65,Wind blowing from the south,2,5,,20–30%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",30,9.8,,,,,,
30.07.2017 08:00,10.2,763.5,767.7,-0.3,86,Wind blowing from the south-west,3,3,,40%., ,,,4.9,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",30,7.9,,,,,,
30.07.2017 05:00,6.3,763.8,768.1,-1.1,91,variable wind direction,1,2,,no clouds, ,,,,,,,,,,40,4.9,,,,,,
30.07.2017 02:00,6.7,764.9,768.9,-0.2,86,Wind blowing from the west,2,2,,no clouds, ,,,,,,,,,,40,4.5,,,,,,
29.07.2017 23:00,13.3,765.1,769.1,0,72,Wind blowing from the south-southeast,5,6,,no clouds, ,,,,,,,,,,40,8.4,,,,,,
29.07.2017 20:00,14.6,765.1,769.3,0.5,73,Wind blowing from the south,6,9,,70 – 80%., ,,,,18.7,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.",20,9.8,,,,,,
29.07.2017 17:00,16.2,764.6,768.7,-0.2,65,Wind blowing from the south,9,10,,70 – 80%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.",20,9.5,,,,,,
29.07.2017 14:00,18.4,764.8,769,-1,65,Wind blowing from the south,8,10,,20–30%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,11.7,,,,,,
29.07.2017 11:00,16.3,765.8,769.6,0.9,78,Wind blowing from the south,6,8,,20–30%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,12.5,,,,,,
29.07.2017 08:00,7.3,764.9,769.2,0.7,93,variable wind direction,2,3,,"10%  or less, but not 0",Clouds generally dissolving or becoming less developed. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.5,,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6,6.3,,,,,,
29.07.2017 05:00,7.5,764.2,768.5,0.6,93,Wind blowing from the north-east,3,3,,50%.,"Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer. ",Fog or ice fog or thick haze.,Fog or ice fog or thick haze.,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",3,6.4,,,,,,
29.07.2017 02:00,9.5,763.6,767.8,0.9,93,Wind blowing from the north-east,2,2,,no clouds, ,,,,,,,,,,4,8.4,,,,,,
28.07.2017 23:00,12.1,762.7,766.9,1.9,88,variable wind direction,1,2,,no clouds, ,,,,,,,,,,15,10.2,,,,,,
28.07.2017 20:00,14.4,760.8,764.9,1.7,85,Wind blowing from the north,4,8,,20–30%., ,,,,25,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,11.9,,,,,,
28.07.2017 17:00,18,759.1,763.2,0.4,58,Wind blowing from the north-west,7,9,,no clouds, ,,,,,,,,,,20,9.5,,,,,,
28.07.2017 14:00,23.4,758.7,762.7,,29,Wind blowing from the north-west,9,10,,no clouds, ,,,,,,,,,,30,4.4,,,,,,
28.07.2017 08:00,14,759.3,763.3,0.6,41,Wind blowing from the north,5,6,,no clouds, ,,,4,,,,,,,40,0.9,,,,,,
28.07.2017 05:00,12.3,758.7,762.8,-1.6,51,Wind blowing from the north,4,6,,no clouds, ,,,,,,,,,,30,2.3,,,,,,
28.07.2017 02:00,6.6,760.3,764.5,-0.8,92,Wind blowing from the north,1,2,,no clouds, ,,,,,,,,,,20,5.4,,,,,,
27.07.2017 23:00,9.2,761.1,765.3,-1,90,Wind blowing from the east-northeast,2,3,,no clouds,Mist. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,18.4,,,,,,6,7.7,,,,,,
27.07.2017 20:00,12.5,762.1,766.3,-1.6,82,Wind blowing from the south-west,4,6,,no clouds, ,,,,18.1,,,,,,40,9.5,,,,,,
27.07.2017 17:00,17.3,763.7,767.8,-0.5,55,Wind blowing from the south,5,7,,no clouds, ,,,,,,,,,,20,8.2,,,,,,
27.07.2017 14:00,16.5,764.2,768.4,,58,Wind blowing from the south-southeast,3,,,no clouds, ,,,,,,,,,,30,8.2,,,,,,
27.07.2017 08:00,4.8,765.3,769.6,0.8,88,variable wind direction,2,2,,no clouds, ,,,4.6,,,,,,,30,3,,,,,,
27.07.2017 05:00,7.8,764.5,768.7,-1.1,80,Wind blowing from the north-northeast,4,5,,no clouds, ,,,,,,,,,,20,4.5,,,,,,
27.07.2017 02:00,7.1,765.6,769.9,-0.4,81,Wind blowing from the north-northeast,4,4,,no clouds, ,,,,,,,,,,20,4,,,,,,
26.07.2017 23:00,7,766,770.4,0,85,Wind blowing from the north-northeast,2,3,,no clouds, ,,,,15.5,,,,,,20,4.7,,,,,,
26.07.2017 20:00,10.6,766,770.2,0.3,70,Wind blowing from the north-west,4,,,no clouds, ,,,,15.5,,,,,,20,5.3,,,,,,
26.07.2017 17:00,13.8,765.7,769.9,-0.3,54,Wind blowing from the north-west,5,7,,no clouds, ,,,,,,,,,,30,4.5,,,,,,
26.07.2017 14:00,15,766,770.2,-1.7,51,Wind blowing from the west-northwest,6,6,,50%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,4.9,,,,,,
26.07.2017 11:00,13,767.7,771.9,0.6,62,Wind blowing from the north,6,8,,"10%  or less, but not 0", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,5.9,,,,,,
26.07.2017 08:00,7.3,767.1,771.4,0.6,81,Wind blowing from the north,2,3,,no clouds, ,,,6.4,,,,,,,20,4.3,3,24,,,,
26.07.2017 05:00,6.9,766.5,770.7,-0.1,86,Wind blowing from the north-northeast,4,5,,no clouds, ,,,,,,,,,,40,4.7,,,,,,
26.07.2017 02:00,7.6,766.6,771.1,0.2,87,Wind blowing from the north-east,2,3,,70 – 80%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,70 – 80%.,1500-2000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30,5.5,4,18,,,,
25.07.2017 23:00,11,766.4,770.6,0.9,67,Wind blowing from the west-northwest,3,,,70 – 80%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,70 – 80%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10,5,,,,,,
25.07.2017 20:00,11.9,765.5,769.7,2.2,65,Wind blowing from the south-southwest,2,4,,40%., ,,,,17.6,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,5.4,4,12,,,,
25.07.2017 17:00,13.7,763.3,767.5,1.8,66,Wind blowing from the west-southwest,5,9,,"90  or more, but not 100%", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",600-1000,,,20,7.5,,,,,,
25.07.2017 14:00,15.7,761.5,765.7,-0.4,73,Wind blowing from the north-west,5,,,"90  or more, but not 100%","Rain, not freezing, intermittent, slight at time of observation. ",Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%","2500 or more, or no clouds.",,,4,10.9,,,,,,
25.07.2017 11:00,14.7,761.9,766,1.8,86,Wind blowing from the north-west,5,,,"90  or more, but not 100%", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",200-300,,,20,12.3,,,,,,
25.07.2017 08:00,12.7,760.1,764.3,0,88,Wind blowing from the north,7,10,,"90  or more, but not 100%",Rain (not freezing) not falling as shower(s). ,Drizzle.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,11.4,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",200-300,,,20,10.7,0.6,24,,,,
25.07.2017 05:00,12.3,760.1,764.2,0.1,80,Wind blowing from the south-southwest,5,7,,100%.,"Rain, not freezing, intermittent, slight at time of observation. ",Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%.,300-600,,,20,8.9,,,,,,
25.07.2017 02:00,12.4,760,764.1,-0.1,79,Wind blowing from the north,5,6,,60%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,8.9,,,,,,
24.07.2017 23:00,10.5,760.1,764.3,0.4,88,Wind blowing from the north,3,5,,20–30%., ,,,,19,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,8.5,,,,,,
24.07.2017 20:00,11.6,759.7,763.9,1,80,Wind blowing from the north-northwest,2,7,,20–30%., ,,,,19,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,8.3,,,,,,
24.07.2017 17:00,16,758.7,762.8,-0.3,71,Wind blowing from the north-northwest,5,6,,no clouds, ,,,,,,,,,,30,10.6,,,,,,
24.07.2017 14:00,18.4,759,763,-1.9,50,Wind blowing from the north-west,5,6,,no clouds, ,,,,,,,,,,40,7.6,,,,,,
24.07.2017 11:00,15.7,760.9,765.1,-0.6,76,Wind blowing from the west-northwest,1,2,,no clouds,Haze. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,,,,8,11.4,,,,,,
24.07.2017 08:00,6.6,761.5,765.8,0,93,Wind blowing from the north-northeast,1,2,,no clouds,Mist. ,Fog or ice fog or thick haze.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,5.2,,,,,,,1.5,5.6,,,,,,
24.07.2017 05:00,6.6,761.5,765.8,-0.7,93,Wind blowing from the north-northeast,1,2,,no clouds,Mist. ,Fog or ice fog or thick haze.,Fog or ice fog or thick haze.,,,,,,,,15,5.6,,,,,,
24.07.2017 02:00,8,762.2,766.5,-1.5,92,Wind blowing from the north-northeast,2,2,,no clouds,"Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer. ",Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,,,,2,6.7,,,,,,
23.07.2017 23:00,13.2,763.7,767.9,-0.4,89,Wind blowing from the south-west,4,6,,no clouds, ,,,,,,,,,,20,11.4,,,,,,
23.07.2017 20:00,13.6,764.1,768.3,-0.1,86,Wind blowing from the south-southwest,4,5,,no clouds, ,,,,17.7,,,,,,20,11.3,,,,,,
23.07.2017 17:00,15.9,764.2,768.3,-0.3,71,Wind blowing from the south,7,9,,no clouds, ,,,,,,,,,,20,10.5,,,,,,
23.07.2017 14:00,17.5,764.5,768.6,-1.5,55,Wind blowing from the south,6,7,,no clouds, ,,,,,,,,,,50,8.4,,,,,,
23.07.2017 11:00,15.7,766,770.2,0.9,71,Wind blowing from the south,5,7,,no clouds, ,,,,,,,,,,40,10.4,,,,,,
23.07.2017 08:00,11,765.1,769.3,1.2,86,Wind blowing from the south-southwest,3,,,no clouds, ,,,8.6,,,,,,,20,8.8,,,,,,
23.07.2017 05:00,10.2,763.9,768.1,0.2,87,Wind blowing from the south-southwest,3,4,,no clouds, ,,,,,,,,,,25,8.1,,,,,,
23.07.2017 02:00,11.7,763.7,767.9,0,88,Wind blowing from the south-southwest,3,4,,no clouds, ,,,,,,,,,,25,9.8,,,,,,
22.07.2017 23:00,12.9,763.7,767.9,1,86,Wind blowing from the south-southwest,4,,,no clouds, ,,,,,,,,,,25,10.6,,,,,,
22.07.2017 20:00,14,762.7,766.9,1.4,86,Wind blowing from the south,5,6,,"10%  or less, but not 0", ,,,,18,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",40,11.7,,,,,,
22.07.2017 17:00,15.9,761.3,765.4,0.3,76,Wind blowing from the south,7,9,,"10%  or less, but not 0", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",40,11.7,,,,,,
22.07.2017 14:00,17.8,761,765.1,-0.6,64,Wind blowing from the south,7,9,,"10%  or less, but not 0", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",40,10.9,,,,,,
22.07.2017 11:00,16.2,761.6,765.7,0.9,77,Wind blowing from the south,7,9,,20–30%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",15,12.2,,,,,,
22.07.2017 08:00,9.1,760.7,764.9,0.9,94,Wind blowing from the south,2,3,,20–30%.,Fog or ice fog. ,Fog or ice fog or thick haze.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,6.9,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",20–30%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",2,8.1,,,,,,
22.07.2017 05:00,7.7,759.8,764.2,-0.8,93,Wind blowing from the south,1,2,,"10%  or less, but not 0","Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer. ",Fog or ice fog or thick haze.,Fog or ice fog or thick haze.,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.","10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",1.5,6.7,,,,,,
22.07.2017 02:00,11.1,760.6,764.8,-0.5,92,Wind blowing from the south,2,3,,no clouds,Fog or ice fog. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,,,,20,9.9,,,,,,
21.07.2017 23:00,10.5,761.1,765.4,0.2,92,Wind blowing from the south,3,4,,no clouds, ,,,,17.7,,,,,,20,9.3,,,,,,
21.07.2017 20:00,11.7,760.9,765.1,0.3,86,Wind blowing from the south,3,4,,no clouds, ,,,,17.7,,,,,,15,9.4,,,,,,
21.07.2017 17:00,16.1,760.6,764.7,-0.3,65,Wind blowing from the south,5,5,,no clouds, ,,,,,,,,,,20,9.5,,,,,,
21.07.2017 14:00,15.8,760.9,765.1,-2.1,60,Wind blowing from the south,2,3,,70 – 80%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",30,8,,,,,,
21.07.2017 11:00,13.9,763,767.2,0.2,76,variable wind direction,1,3,,70 – 80%.,Mist. ,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10,9.7,,,,,,
21.07.2017 08:00,7.7,762.8,767.1,-1,93,variable wind direction,1,2,,50%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,6.1,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.",9,6.7,2,24,,,,
21.07.2017 05:00,8.3,763.8,768.1,-0.1,94,Wind blowing from the north-northeast,2,3,,no clouds, ,,,,,,,,,,15,7.4,,,,,,
21.07.2017 02:00,10.1,763.9,768.1,-0.6,93,Wind blowing from the north,1,2,,Sky obscured by fog and/or other meteorological phenomena.,"Fog or ice fog, sky visible, no appreciable change during the preceding hour. ",Fog or ice fog or thick haze.,Fog or ice fog or thick haze.,,,,,,,,0.2,9,2,6,,,,
20.07.2017 23:00,10.6,764.5,768.7,-0.6,91,Wind blowing from the north-northwest,2,2,,20–30%., ,,,,17.2,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",3,9.2,,,,,,
20.07.2017 20:00,12.9,765.1,769.3,0.8,90,Wind blowing from the east,2,2,,70 – 80%., ,,,,17.2,Stratocumulus other than Stratocumulus cumulogenitus.,70 – 80%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,11.2,2,12,,,,
20.07.2017 17:00,15.6,764.3,768.4,-0.5,76,Wind blowing from the north-west,5,6,,20–30%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,11.4,,,,,,
20.07.2017 14:00,15.3,764.8,769,-1.5,77,Wind blowing from the north,4,5,,60%.,Clouds generally dissolving or becoming less developed. ,Rain.,Drizzle.,,,Stratocumulus cumulogenitus.,60%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,11.3,2,6,,,,
20.07.2017 11:00,13.4,766.3,770.5,0.9,91,Wind blowing from the north-northeast,4,5,,"90  or more, but not 100%",Drizzle (not freezing) or snow grains not falling as shower(s). ,Drizzle.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",600-1000,,,15,12,,,,,,
20.07.2017 08:00,12,765.4,769.6,0.8,91,Wind blowing from the north-east,3,4,,100%.,"Rain, not freezing, intermittent, moderate at time of observation. ",Rain.,Drizzle.,12,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",100%.,100-200,,,1.5,10.6,2,24,,,,
20.07.2017 05:00,12.4,764.6,768.8,-0.2,92,Wind blowing from the north-northwest,4,5,,"90  or more, but not 100%",Clouds generally dissolving or becoming less developed. ,Drizzle.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,11.1,,,,,,
20.07.2017 02:00,12.5,764.8,769,,88,Wind blowing from the north-northwest,4,5,,100%.,"Drizzle, not freezing, intermittent, moderate at time of observation. ",Rain.,Rain.,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",100%.,200-300,,,6,10.6,0.8,18,,,,
19.07.2017 23:00,12.3,765.4,769.6,0,89,Wind blowing from the north,4,6,,70 – 80%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,70 – 80%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,10.5,,,,,,
19.07.2017 20:00,13.1,765.4,769.6,0.7,88,Wind blowing from the north-west,5,6,,"90  or more, but not 100%","Drizzle, not freezing, intermittent, slight at time of observation. ",Rain.,Drizzle.,,17.2,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",600-1000,,,10,11.2,0.4,12,,,,
19.07.2017 17:00,15.1,764.7,768.8,-0.3,66,Wind blowing from the north-west,8,9,,70 – 80%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,70 – 80%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,8.7,,,,,,
19.07.2017 14:00,16.2,765,769.1,,61,Wind blowing from the north-west,8,10,,50%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,1000-1500,,,20,8.5,,,,,,
19.07.2017 08:00,7.4,765.7,770,0.2,89,Wind blowing from the north-east,4,5,,"10%  or less, but not 0", ,,,7,,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",9,5.7,,,,,,
19.07.2017 05:00,8,765.5,769.7,-1.1,89,Wind blowing from the north-northeast,4,4,,no clouds, ,,,,,,,,,,10,6.2,,,,,,
19.07.2017 02:00,8.6,766.6,770.8,-0.6,89,Wind blowing from the north-northeast,2,3,,40%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10,6.8,,,,,,
18.07.2017 23:00,7.9,767.2,771.4,0.2,89,Wind blowing from the north,2,4,,20–30%., ,,,,17.1,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10,6.2,,,,,,
18.07.2017 20:00,12.2,767,771.2,0.4,76,Wind blowing from the west-northwest,3,3,,"10%  or less, but not 0", ,,,,17.1,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,8.1,,,,,,
18.07.2017 17:00,15.4,766.6,770.7,0.5,62,Wind blowing from the west-northwest,4,6,,70 – 80%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,70 – 80%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",40,8.2,,,,,,
18.07.2017 14:00,16,766.1,770.2,-0.8,59,Wind blowing from the north-west,5,6,,70 – 80%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,70 – 80%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30,8,,,,,,
18.07.2017 11:00,11.3,766.9,771.1,0.6,77,Wind blowing from the north-east,3,7,,"90  or more, but not 100%", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",600-1000,,,10,7.4,,,,,,
18.07.2017 08:00,7.5,766.3,770.5,0.5,84,Wind blowing from the north-northeast,4,5,,40%., ,,,4.6,,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10,4.9,,,,,,
18.07.2017 05:00,6.4,765.8,770.1,0.1,88,variable wind direction,2,3,,20–30%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,4.6,,,,,,
18.07.2017 02:00,8.9,765.7,770,-0.8,78,Wind blowing from the north,4,8,,no clouds, ,,,,,,,,,,20,5.3,,,,,,
17.07.2017 23:00,6.5,766.5,770.8,-0.6,86,Wind blowing from the north-northeast,3,5,,no clouds, ,,,,15.6,,,,,,20,4.3,,,,,,
